"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1995-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.7","","","","1"
"1996-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1996-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.4","","","","1"
"1996-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.3","","","","1"
"1996-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.1","","","","1"
"1996-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.0","","","","1"
"1996-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.1","","","","1"
"1996-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.0","","","","1"
"1996-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.0","","","","1"
"1996-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.0","","","","1"
"1996-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.0","","","","1"
"1996-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.2","","","","1"
"1996-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.2","","","","1"
"1997-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.3","","","","1"
"1997-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.4","","","","1"
"1997-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.5","","","","1"
"1997-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.5","","","","1"
"1997-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.6","","","","1"
"1997-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.8","","","","1"
"1997-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","55.9","","","","1"
"1998-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.0","","","","1"
"1998-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.0","","","","1"
"1998-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.0","","","","1"
"1998-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.0","","","","1"
"1998-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.1","","","","1"
"1998-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.2","","","","1"
"1998-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.3","","","","1"
"1999-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.3","","","","1"
"1999-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.3","","","","1"
"1999-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.4","","","","1"
"1999-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.4","","","","1"
"1999-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.4","","","","1"
"1999-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.4","","","","1"
"1999-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.5","","","","1"
"1999-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.7","","","","1"
"1999-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.8","","","","1"
"1999-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","56.9","","","","1"
"1999-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.1","","","","1"
"1999-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.2","","","","1"
"2000-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.2","","","","1"
"2000-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.4","","","","1"
"2000-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.5","","","","1"
"2000-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.6","","","","1"
"2000-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.8","","","","1"
"2000-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.8","","","","1"
"2000-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","57.9","","","","1"
"2000-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","58.1","","","","1"
"2000-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","58.2","","","","1"
"2000-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","58.3","","","","1"
